,x,y,waveform,cluster_id,cluster_color
0,15.564873,-5.729954,"[ 0.07380671  0.07245816  0.06822895  0.0675      0.06794707  0.0663421
  0.07115708  0.07753297  0.07443448  0.08072013  0.0949576   0.07787244
  0.06499683  0.1036433   0.09446775  0.0413952   0.18156959  0.38792178
  0.10410728 -0.6171543  -1.         -0.7931705  -0.5064153  -0.40548664
 -0.31675944 -0.19149992 -0.11408619 -0.05254257  0.03352074  0.10610878
  0.15492196  0.20058295  0.23085639  0.23357263  0.22650313  0.21982355
  0.20597567  0.18689092  0.1709962   0.15630262]",0,[0.18995 0.07176 0.23217 1.     ]
1,18.015068,-5.3838177,"[ 0.0528798   0.05642975  0.05971391  0.06285493  0.06487846  0.06388902
  0.06446666  0.06720632  0.06333208  0.06029207  0.0684467   0.063417
  0.04496714  0.06013282  0.07324966  0.02432308  0.02493836  0.08631106
 -0.13042288 -0.687144   -1.         -0.7380173  -0.33831498 -0.18250275
 -0.13137835 -0.04475352  0.01128011  0.03827474  0.09628822  0.16392975
  0.20858699  0.23894696  0.25341782  0.24273555  0.21879177  0.1958405
  0.17312993  0.14565976  0.11507509  0.08884777]",0,[0.18995 0.07176 0.23217 1.     ]
2,17.53384,-4.496785,"[ 0.09837338  0.10352635  0.10914384  0.11525291  0.11999132  0.1237639
  0.12896743  0.13263017  0.13197915  0.13423467  0.13950242  0.1362494
  0.1339823   0.14378087  0.1372515   0.11959051  0.13835032  0.08420061
 -0.25537214 -0.76195925 -1.         -0.83126956 -0.55970764 -0.404093
 -0.29880378 -0.18525858 -0.10116208 -0.04450982  0.01601424  0.0758146
  0.12674946  0.17533055  0.2164399   0.23995991  0.24862613  0.2481651
  0.23935875  0.22468135  0.20847523  0.19174972]",0,[0.18995 0.07176 0.23217 1.     ]
3,15.452191,-4.7146525,"[ 0.06930821  0.07022737  0.07116427  0.07801235  0.08328527  0.0798002
  0.08042035  0.08686947  0.08077916  0.07748336  0.09481063  0.0882486
  0.06219092  0.09328192  0.10966357  0.0354914   0.13120635  0.4792824
  0.46030107 -0.27478507 -0.988275   -1.         -0.66723496 -0.50359726
 -0.4338704  -0.30613232 -0.1995649  -0.13225539 -0.04005671  0.06091197
  0.13778655  0.2004443   0.2447487   0.2583385   0.25446185  0.24626854
  0.23204078  0.21318166  0.19361095  0.17215131]",0,[0.18995 0.07176 0.23217 1.     ]
4,15.952753,-5.080733,"[ 0.05033005  0.05264371  0.05734809  0.06637404  0.06915387  0.06775077
  0.07784431  0.08633825  0.0777898   0.08431348  0.10425466  0.0852375
  0.07884381  0.14087619  0.13838632  0.1042633   0.35129744  0.6582986
  0.2970271  -0.5882714  -1.         -0.7210844  -0.42819133 -0.38308796
 -0.33410424 -0.23644345 -0.18489993 -0.12930407 -0.03821788  0.03246901
  0.07617712  0.11797345  0.1467882   0.15559115  0.15875411  0.15879317
  0.15108708  0.14095616  0.13273928  0.1239046 ]",0,[0.18995 0.07176 0.23217 1.     ]
5,16.494219,-5.852194,"[ 0.0622636   0.06380834  0.0658724   0.06980824  0.06973965  0.06703205
  0.07120275  0.07233842  0.06124542  0.06340689  0.07590349  0.05695737
  0.04492652  0.0806189   0.06026466  0.0094799   0.17062956  0.37425575
  0.05736226 -0.6643441  -1.         -0.76671785 -0.50397205 -0.43200687
 -0.34200087 -0.18985213 -0.07611287  0.01290748  0.10854658  0.18033257
  0.22184318  0.24982427  0.259058    0.24780543  0.23052879  0.21302193
  0.19257692  0.17147543  0.15304412  0.13692585]",0,[0.18995 0.07176 0.23217 1.     ]
6,17.066328,-5.265655,"[ 5.71870841e-02  5.76507337e-02  5.78647293e-02  5.90568036e-02
  5.78240231e-02  5.42983487e-02  5.48292771e-02  5.47754243e-02
  4.68201861e-02  4.38279212e-02  4.70377244e-02  3.40870097e-02
  2.27116980e-02  3.57805230e-02  2.12897994e-02 -6.07151713e-04
  9.99367312e-02  1.82080567e-01 -1.31277561e-01 -7.27913082e-01
 -1.00000000e+00 -7.85370946e-01 -5.16685367e-01 -4.18602318e-01
 -3.37332487e-01 -2.12878972e-01 -1.16683505e-01 -2.96447035e-02
  8.90891477e-02  2.08329096e-01  3.01236749e-01  3.69449437e-01
  4.02291626e-01  3.93935829e-01  3.61810774e-01  3.20978492e-01
  2.74873018e-01  2.28717148e-01  1.87864780e-01  1.51361451e-01]",0,[0.18995 0.07176 0.23217 1.     ]
7,17.648102,-5.9822736,"[ 0.01588845  0.01543932  0.01387623  0.01366223  0.0128184   0.00873344
  0.00620132  0.00559829 -0.00132384 -0.0078604  -0.00406354 -0.00855233
 -0.02362633 -0.01644299 -0.00567799 -0.0087433   0.06579164  0.15853482
 -0.0785711  -0.66845995 -1.         -0.68070817 -0.10324672  0.24148433
  0.33963493  0.34267628  0.2919975   0.22535904  0.18631105  0.1584697
  0.12535632  0.10112532  0.08473078  0.06503771  0.04691196  0.03470537
  0.02339174  0.01297289  0.00700777  0.00355988]",0,[0.18995 0.07176 0.23217 1.     ]
8,16.778185,-4.3045096,"[ 0.13387966  0.14271884  0.15184897  0.16125384  0.16909343  0.17631915
  0.18501016  0.1917226   0.19524471  0.20188522  0.2083576   0.2067792
  0.20945594  0.21902797  0.21132874  0.20350416  0.20890269  0.08230335
 -0.32173946 -0.8050998  -1.         -0.8726719  -0.687962   -0.57711947
 -0.47981665 -0.37015125 -0.27669346 -0.19268437 -0.1015589  -0.0108122
  0.07449233  0.15490738  0.22084019  0.26409206  0.2883759   0.29933026
  0.29933327  0.29160383  0.27969626  0.26500157]",0,[0.18995 0.07176 0.23217 1.     ]
