,x,y,waveform,cluster_id,cluster_color
279,8.216389,-3.1547575,"[ 0.06107701  0.06571631  0.06873638  0.07334641  0.07809836  0.07906602
  0.08239821  0.08955532  0.08813415  0.0861404   0.0989072   0.09880885
  0.08076437  0.09762218  0.11408549  0.06344323  0.06986221  0.1514619
 -0.06833934 -0.6681368  -1.         -0.6899767  -0.2403981  -0.09797575
 -0.08933043 -0.02393494  0.0198159   0.01916856  0.03836893  0.06351733
  0.06738891  0.07234684  0.08464403  0.08999327  0.09265837  0.0988325
  0.10223696  0.1013322   0.10010874  0.09762061]",4,[0.98    0.73    0.22161 1.     ]
280,9.365061,-0.17751992,"[ 0.08583158  0.09331448  0.10158172  0.11130382  0.11870575  0.123909
  0.13223371  0.1409653   0.14460586  0.151628    0.16243242  0.15888871
  0.154151    0.17145456  0.16818808  0.13294289  0.14862978  0.13192235
 -0.18552117 -0.7272517  -1.         -0.80855316 -0.48885036 -0.31407642
 -0.22460662 -0.14011708 -0.0845359  -0.05180216 -0.0111452   0.02708664
  0.05127164  0.07410242  0.09830567  0.11420041  0.12186753  0.12710585
  0.13034637  0.12986672  0.12650634  0.12256192]",1,[0.27381 0.52069 0.97899 1.     ]
281,9.802699,-2.9128237,"[ 0.08548423  0.08520766  0.08355473  0.08480287  0.0856953   0.08221225
  0.07892025  0.07654981  0.06844867  0.05996954  0.05699046  0.04500894
  0.02595493  0.02259383  0.01590451 -0.00678559  0.00553116 -0.01623345
 -0.29278073 -0.7675974  -1.         -0.7730733  -0.3795571  -0.12084101
  0.01761573  0.1185559   0.17135344  0.18165018  0.18758748  0.19036277
  0.17938338  0.16716889  0.1611327   0.15348215  0.1424739   0.13198552
  0.12083901  0.10775183  0.09557127  0.08611764]",4,[0.98    0.73    0.22161 1.     ]
282,10.034447,-2.831556,"[ 0.09410041  0.09782348  0.09865752  0.10106485  0.10388017  0.10357348
  0.10246556  0.09920954  0.08896764  0.08040308  0.07862068  0.06799389
  0.05086788  0.04623134  0.03445529  0.0022619  -0.01785196 -0.09092441
 -0.37695512 -0.7999315  -1.         -0.80690503 -0.4515352  -0.1894011
 -0.0378072   0.06096203  0.11205991  0.13608845  0.16976556  0.20235403
  0.20904495  0.20226064  0.20024736  0.19708203  0.18544063  0.1702592
  0.1557726   0.14098816  0.12548584  0.11100223]",4,[0.98    0.73    0.22161 1.     ]
283,12.96113,1.1297351,"[ 0.11715169  0.12581995  0.13516141  0.14576758  0.15399067  0.15964274
  0.16785678  0.17547104  0.1765262   0.17959878  0.18703006  0.18291573
  0.1738367   0.17724119  0.1665739   0.12838016  0.09186782 -0.02240072
 -0.361374   -0.8039766  -1.         -0.8608301  -0.64313984 -0.51849645
 -0.42490107 -0.3084061  -0.20453964 -0.12284148 -0.04025536  0.03887757
  0.10287046  0.15788604  0.2044884   0.23507643  0.25259793  0.26227516
  0.26144168  0.2509012   0.23658529  0.21922657]",5,[0.89298 0.26981 0.03993 1.     ]
284,-0.19314331,10.093621,"[ 0.03353977  0.03051586  0.02644232  0.02842632  0.02988171  0.02266351
  0.02198038  0.02891916  0.01840538  0.01077815  0.0346591   0.03591356
  0.00979096  0.04704411  0.07851855  0.01218739  0.08936152  0.3467432
  0.17735627 -0.57219905 -1.         -0.60118383 -0.0431522   0.1113649
  0.08473187  0.10632314  0.10004644  0.06356886  0.06573755  0.07290339
  0.05474639  0.04456098  0.0490021   0.04761463  0.04263293  0.04123495
  0.0389134   0.0361032   0.03647192  0.03669919]",3,[0.64362 0.98999 0.23356 1.     ]
285,0.1981409,10.100658,"[ 3.2638155e-02  3.8525559e-02  4.2160381e-02  4.5928992e-02
  5.2866805e-02  5.7596710e-02  5.9876014e-02  6.8675913e-02
  7.6070547e-02  7.2725996e-02  8.0645077e-02  9.7838752e-02
  8.6873531e-02  8.2606502e-02  1.2206545e-01  1.1093922e-01
  5.9360448e-02  1.1111145e-01  1.9595047e-02 -5.4920107e-01
 -1.0000000e+00 -4.9387345e-01  4.6493512e-01  7.6285082e-01
  4.1275710e-01  9.6232802e-02 -5.4346699e-02 -1.9201308e-01
 -2.5822935e-01 -2.3526236e-01 -2.1899898e-01 -2.0810814e-01
 -1.6571574e-01 -1.2143350e-01 -9.1276176e-02 -5.7151806e-02
 -2.2856489e-02 -1.8186386e-04  1.6733509e-02  3.2079119e-02]",3,[0.64362 0.98999 0.23356 1.     ]
286,8.379996,-2.685141,"[ 0.07187539  0.07496597  0.07779098  0.08312411  0.08806609  0.08835471
  0.08975589  0.09391388  0.09036051  0.08607875  0.09386583  0.09037654
  0.07205568  0.08255117  0.09000602  0.0402347   0.03854211  0.08709934
 -0.14249457 -0.69677114 -1.         -0.73850733 -0.34962946 -0.20391081
 -0.15400991 -0.05926063  0.00497717  0.02795174  0.06492039  0.09929584
  0.11088786  0.12208864  0.1365856   0.14205137  0.14401715  0.14767326
  0.14733815  0.14351085  0.1409497   0.13730058]",0,[0.18995 0.07176 0.23217 1.     ]
287,13.487598,0.44019845,"[ 0.10084049  0.10736327  0.1155704   0.12194693  0.12474763  0.12939426
  0.13611005  0.13909802  0.14211215  0.14863788  0.14892772  0.14586224
  0.15296379  0.15428577  0.14187244  0.1488539   0.127488   -0.07901737
 -0.4875986  -0.8665002  -1.         -0.89457893 -0.6810356  -0.46769705
 -0.29929718 -0.17162675 -0.07054619  0.00872966  0.07700569  0.14609075
  0.2079195   0.24633987  0.26054975  0.2608157   0.252796    0.23760244
  0.219475    0.20297159  0.18679409  0.16858646]",5,[0.89298 0.26981 0.03993 1.     ]
288,7.845491,-1.8710579,"[ 0.07157201  0.07633165  0.081636    0.08856301  0.09383433  0.09609012
  0.10156585  0.10891111  0.10846365  0.10923859  0.12022516  0.11820985
  0.10609675  0.12220523  0.12976046  0.0912685   0.10787129  0.1412916
 -0.13144948 -0.7024661  -1.         -0.7570064  -0.39725986 -0.25385007
 -0.19482356 -0.10379954 -0.04621242 -0.02357357  0.01482205  0.05416511
  0.07791548  0.10496155  0.13552362  0.15468585  0.16345023  0.16659181
  0.16305655  0.15501031  0.14546695  0.13393736]",0,[0.18995 0.07176 0.23217 1.     ]
